code,description
020742,"frozen domestic ducks, not cut in pieces"
020726,fresh or chilled cuts and edible offal of turkeys of the species domesticus
020744,fresh or chilled cuts and edible offal of domestic ducks (excl. fatty livers)
020754,fresh or chilled cuts and edible offal of domestic geese (excl. fatty livers)
020751,"fresh or chilled domestic geese, not cut in pieces"
020752,"frozen domestic geese, not cut in pieces"
020745,frozen cuts and edible offal of domestic ducks
020840,"fresh, chilled or frozen meat and edible offal of whales, dolphins and porpoises (mammals of the order cetacea), of manatees and dugongs (mammals of the order sirenia) and of seals, sea lions and walruses (mammals of the suborder pinnipedia)"
020890,"fresh, chilled or frozen meat and edible offal of pigeons, game, reindeer and other animals (excl. bovine animals, swine, sheep, goats, horses, asses, mules, hinnies, poultry ""fowls of the species gallus domesticus, ducks, geese, turkeys, guinea fowl"", rabbits, hares, primates, whales, dolphins and porpoises ""mammals of the order cetacea"", manatees and dugongs ""mammals of the order sirenia"", seals, sea lions and walruses ""mammals of the suborder pinnipedia"", reptiles and insects)"
020810,"fresh, chilled or frozen meat and edible offal of rabbits or hares"
020910,"pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked"
021011,"hams, shoulders and cuts thereof of swine, salted, in brine, dried or smoked, with bone in"
021092,"meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of whales, dolphins and porpoises (mammals of the order cetacea), manatees and dugongs (mammals of the order sirenia) and seals, sea lions and walruses (mammals of the suborder pinnipedia)"
021020,"meat of bovine animals, salted, in brine, dried or smoked"
021012,"bellies ""streaky"" and cuts thereof of swine, salted, in brine, dried or smoked"
021019,"meat of swine, salted, in brine, dried or smoked (excl. hams, shoulders and cuts thereof, with bone in, and bellies and cuts thereof)"
021099,"meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat and meat offal (excl. meat of bovine animals and swine and meat and edible offal of primates, whales, dolphins and porpoises ""mammals of the order cetacea"", manatees and dugongs ""mammals of the order sirenia"", seals, sea lions and walruses ""mammals of the suborder pinnipedia"", reptiles and insects)"
020319,"fresh or chilled meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, with bone in)"
020312,"fresh or chilled hams, shoulders and cuts thereof of swine, with bone in"
020321,frozen carcases and half-carcases of swine
020329,"frozen meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, with bone in)"
020322,"frozen hams, shoulders and cuts thereof of swine, with bone in"
020311,fresh or chilled carcases and half-carcases of swine
020422,"fresh or chilled cuts of sheep, with bone in (excl. carcases and half-carcases)"
020442,"frozen cuts of sheep, with bone in (excl. carcases and half-carcases)"
020443,frozen boneless cuts of sheep
020450,"fresh, chilled or frozen meat of goats"
020690,"frozen edible offal of sheep, goats, horses, asses, mules and hinnies"
020610,fresh or chilled edible offal of bovine animals
020680,"fresh or chilled edible offal of sheep, goats, horses, asses, mules and hinnies"
020629,frozen edible bovine offal (excl. tongues and livers)
020500,"meat of horses, asses, mules or hinnies, fresh, chilled or frozen"
020220,"frozen bovine cuts, with bone in (excl. carcases and half-carcases)"
020230,"frozen, boneless meat of bovine animals"
020120,"fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases)"
030539,"fish fillets, dried, salted or in brine, but not smoked (excl. tilapia, catfish, carp, eels, nile perch, snakeheads and fish of the families bregmacerotidae, euclichthyidae, gadidae, macrouridae, melanonidae, merlucciidae, moridae and muraenolepididae)"
030532,"fillets, dried, salted or in brine, but not smoked, of fish of the families bregmacerotidae, euclichthyidae, gadidae, macrouridae, melanonidae, merlucciidae, moridae and muraenolepididae"
030553,"dried fish of the families bregmacerotidae, euclichthyidae, gadidae, macrouridae, melanonidae, merlucciidae, moridae and muraenolepididae, even salted but not smoked (excl. fillets, offal and cod ""gadus morhua, gadus ogac, gadus macrocephalus"")"
030554,"dried herrings ""clupea harengus, clupea pallasii"", anchovies ""engraulis spp."", sardines ""sardina pilchardus, sardinops spp."", sardinella ""sardinella spp."", brisling or sprats ""sprattus sprattus"", mackerel ""scomber scombrus, scomber australasicus, scomber japonicus"", indian mackerels ""rastrelliger spp."", seerfishes ""scomberomorus spp."", jack and horse mackerel ""trachurus spp."", jacks, crevalles ""caranx spp."", cobia ""rachycentron canadum"", silver pomfrets ""pampus spp."", pacific saury ""cololabis saira"", scads ""decapterus spp."", capelin ""mallotus villosus"", swordfish ""xiphias gladius"", kawakawa ""euthynnus affinis"", bonitos ""sarda spp."", marlins, sailfishes and spearfish ""istiophoridae"", even salted but not smoked (excl. fillets and offal)"
030544,"smoked tilapia ""oreochromis spp."", catfish ""pangasius spp., silurus spp., clarias spp., ictalurus spp."", carp ""cyprinus spp., carassius spp., ctenopharyngodon idellus, hypophthalmichthys spp., cirrhinus spp., mylopharyngodon piceus, catla catla, labeo spp., osteochilus hasselti, leptobarbus hoeveni, megalobrama spp."", eels ""anguilla spp."", nile perch ""lates niloticus"" and snakeheads ""channa spp."", incl. fillets (excl. offal)"
030549,"smoked fish, incl. fillets (excl. offal, pacific salmon, atlantic salmon, danube salmon, herring, trout, tilapia, catfish, carp, eels, nile perch and snakeheads)"
030571,"shark fins, smoked, dried, salted or in brine"
030551,"dried cod ""gadus morhua, gadus ogac, gadus macrocephalus"", even salted, not smoked (excl. fillets and offal)"
030569,"fish, salted or in brine only (excl. fillets, offal, herring, cod, anchovies, tilapia, catfish, carp, eels, nile perch and snakeheads)"
030559,"fish, dried, even salted but not smoked, n.e.s. (excl. fillets and offal)"
030499,frozen fish meat n.e.s. (excl. fillets)
030496,"frozen meat, whether or not minced, of dogfish and other sharks"
030442,"fresh or chilled fillets of trout ""salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache and oncorhynchus chrysogaster"""
030444,"fresh or chilled fillets of fish of the families bregmacerotidae, euclichthyidae, gadidae, macrouridae, melanonidae, merlucciidae, moridae and muraenolepididae"
030449,"fresh or chilled fillets of fish, n.e.s."
030447,fresh or chilled fillets of dogfish and other sharks
030456,"fresh or chilled meat, whether or not minced, of dogfish and other sharks (excl. fillets)"
030479,"frozen fillets of fish of the families bregmacerotidae, euclichthyidae, gadidae, macrouridae, melanonidae, merlucciidae, moridae and muraenolepididae (excl. cod, haddock, coalfish, hake and alaska pollack)"
030482,"frozen fillets of trout ""salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache and oncorhynchus chrysogaster"""
030459,"fresh or chilled fish meat, whether or not minced (excl. all fillets, tilapias, catfish, carp, eels, nile perch, snakeheads, salmonidae, swordfish, toothfish, rays, skates, dogfish and other sharks, and fish of the families bregmacerotidae, euclichthyidae, gadidae, macrouridae, melanonidae, merlucciidae, moridae and muraenolepididae)"
030474,"frozen fillets of hake ""merluccius spp., urophycis spp."""
030471,"frozen fillets of cod ""gadus morhua, gadus ogac, gadus macrocephalus"""
030483,"frozen fillets of flat fish ""pleuronectidae, bothidae, cynoglossidae, soleidae, scophthalmidae and citharidae"""
030488,"frozen fillets of dogfish, other sharks, rays and skates ""rajidae"""
030493,"frozen meat, whether or not minced, of tilapia ""oreochromis spp."", catfish ""pangasius spp., silurus spp., clarias spp., ictalurus spp."", carp ""cyprinus spp., carassius spp., ctenopharyngodon idellus, hypophthalmichthys spp., cirrhinus spp., mylopharyngodon piceus, catla catla, labeo spp., osteochilus hasselti, leptobarbus hoeveni, megalobrama spp."", eels ""anguilla spp."", nile perch ""lates niloticus"" and snakeheads ""channa spp."" (excl. fillets)"
030494,"frozen meat, whether or not minced, of alaska pollack ""theragra chalcogramma"" (excl. fillets)"
030495,"frozen meat, whether or not minced, of fish of the families bregmacerotidae, euclichthyidae, gadidae, macrouridae, melanonidae, merlucciidae, moridae and muraenolepididae (excl. fillets and alaska pollack ""theragra chalcogramma"")"
030489,"frozen fish fillets, n.e.s."
030749,"cuttle fish and squid, smoked, dried, salted or in brine, with or without shell"
030742,"cuttle fish and squid, live, fresh or chilled, with or without shell"
030743,"cuttle fish and squid, frozen, with or without shell"
030739,"mussels ""mytilus spp., perna spp."", smoked, dried, salted or in brine, even in shell"
030772,"frozen, even in shell, clams, cockles and ark shells ""families arcidae, arcticidae, cardiidae, donacidae, hiatellidae, mactridae, mesodesmatidae, myidae, semelidae, solecurtidae, solenidae, tridacnidae and veneridae"""
030729,"scallops and other molluscs of the family pectinidae, smoked, dried, salted or in brine, even in shell"
030722,"scallops and other molluscs of the family pectinidae, frozen, even in shell"
030731,"live, fresh or chilled, not smoked, mussels ""mytilus spp., perna spp."", with or without shell"
030732,"mussels ""mytilus spp., perna spp."", frozen, even in shell"
030721,"live, fresh or chilled, scallops and other molluscs of the family pectinidae, even in shell"
030711,"oysters, even in shell, live, fresh or chilled"
030830,"live, fresh, chilled, frozen, dried, salted or in brine, even smoked, jellyfish ""rhopilema spp."""
030890,"live, fresh, chilled, frozen, dried, salted or in brine, even smoked, aquatic invertebrates (excl. crustaceans, molluscs, sea cucumbers, sea urchins and jellyfish)"
030636,"shrimps and prawns, whether in shell or not, live, fresh or chilled (excl. cold-water shrimps and prawns ""pandalus spp., crangon crangon"")"
030635,"cold-water shrimps and prawns ""pandalus spp., crangon crangon"", whether in shell or not, live, fresh or chilled"
030633,"crabs, whether in shell or not, live, fresh or chilled"
030692,"lobsters ""homarus spp."", whether in shell or not, dried, salted, smoked or in brine, incl. lobsters in shell, cooked by steaming or by boiling in water"
030693,"crabs, whether in shell or not, dried, salted, smoked or in brine, incl. crabs in shell, cooked by steaming or by boiling in water"
030639,"crustaceans, fit for human consumption, whether in shell or not, live, fresh or chilled (excl. rock lobster and other sea crawfish, lobsters, crabs, norway lobsters, shrimps and prawns)"
030611,"frozen rock lobster and other sea crawfish ""palinurus spp."", ""panulirus spp."" and ""jasus spp."", even smoked, whether in shell or not, incl. rock lobster and other sea crawfish in shell, cooked by steaming or by boiling in water"
030612,"frozen lobsters ""homarus spp."", even smoked, whether in shell or not, incl. lobsters in shell, cooked by steaming or by boiling in water"
030616,"frozen cold-water shrimps and prawns ""pandalus spp., crangon crangon"", even smoked, whether in shell or not, incl. shrimps and prawns in shell, cooked by steaming or by boiling in water"
030617,"frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in shell, cooked by steaming or by boiling in water (excl. cold-water shrimps and prawns)"
030632,"lobsters ""homarus spp."", whether in shell or not, live, fresh or chilled"
030619,"frozen crustaceans, even smoked, fit for human consumption, whether in shell or not, incl. crustaceans in shell, cooked beforehand by steaming or by boiling in water (excl. rock lobster and other sea crawfish, lobsters, crabs, norway lobsters, shrimps and prawns)"
030614,"frozen crabs, even smoked, whether in shell or not, incl. crabs in shell, cooked by steaming or by boiling in water"
030699,"crustaceans, fit for human consumption, whether in shell or not, dried, salted, smoked or in brine, incl. crustaceans in shell, cooked by steaming or by boiling in water (excl. rock lobster and other sea crawfish, lobsters, crabs, norway lobsters, shrimps and prawns)"
030695,"shrimps and prawns, whether in shell or not, dried, salted, smoked or in brine, incl. ones in shell, cooked by steaming or by boiling in water"
030289,"fresh or chilled fish, n.e.s."
030281,fresh or chilled dogfish and other sharks
030284,"fresh or chilled sea bass ""dicentrarchus spp."""
030285,"fresh or chilled sea bream ""sparidae"""
030211,"fresh or chilled trout ""salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache and oncorhynchus chrysogaster"""
030243,"fresh or chilled sardines ""sardina pilchardus, sardinops spp."", sardinella ""sardinella spp."", brisling or sprats ""sprattus sprattus"""
030251,"fresh or chilled cod ""gadus morhua, gadus ogac, gadus macrocephalus"""
030249,"fresh or chilled indian mackerels ""rastrelliger spp."", seerfishes ""scomberomorus spp."", jacks, crevalles ""caranx spp."", silver pomfrets ""pampus spp."", pacific saury ""cololabis saira"", scads ""decapterus spp."", capelin ""mallotus villosus"", kawakawa ""euthynnus affinis"", bonitos ""sarda spp."", marlins, sailfishes and spearfish ""istiophoridae"""
030259,"fresh or chilled fish of the families bregmacerotidae, euclichthyidae, gadidae, macrouridae, melanonidae, merlucciidae, moridae and muraenolepididae (excl. cod, haddock, coalfish, hake, alaska pollack and blue whitings)"
030254,"fresh or chilled hake ""merluccius spp., urophycis spp."""
030245,"fresh or chilled jack and horse mackerel ""trachurus spp."""
030221,"fresh or chilled lesser or greenland halibut ""reinhardtius hippoglossoides, atlantic halibut ""hippoglossus hippoglossus"" and pacific halibut ""hippoglossus stenolepis"""
030239,"fresh or chilled tunas of the genus ""thunnus"" (excl. thunnus alalunga, thunnus albacares, thunnus obesus, thunnus thynnus, thunnus orientalis and thunnus maccoyii)"
030229,"fresh or chilled flat fish ""pleuronectidae, bothidae, cynoglossidae, soleidae, scophthalmidae and catharidae"" (excl. halibut ""reinhardtius hippoglossoides, hippoglossus hippoglossus and hippoglossus stenolepis"", plaice ""pleuronectes platessa"", sole ""solea spp."" and turbot ""psetta maxima"")"
030235,"fresh or chilled atlantic and pacific bluefin tuna (thunnus thynnus, thunnus orientalis)"
030236,"fresh or chilled southern bluefin tunas ""thunnus maccoyii"""
030232,"fresh or chilled yellowfin tunas ""thunnus albacares"""
030233,fresh or chilled skipjack or stripe-bellied bonito
030234,"fresh or chilled bigeye tunas ""thunnus obesus"""
030231,"fresh or chilled albacore or longfinned tunas ""thunnus alalunga"""
030314,"frozen trout ""salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache and oncorhynchus chrysogaster"""
030331,"frozen lesser or greenland halibut ""reinhardtius hippoglossoides"", atlantic halibut ""hippoglossus hippoglossus"" and pacific halibut ""hippoglossus stenolepis"""
030339,"frozen flat fish ""pleuronectidae, bothidae, cynoglossidae, soleidae, scophthalmidae and citharidae"" (excl. halibut, plaice, sole and turbot)"
030341,"frozen albacore or longfinned tunas ""thunnus alalunga"""
030353,"frozen sardines ""sardina pilchardus, sardinops spp."", sardinella ""sardinella spp."", brisling or sprats ""sprattus sprattus"""
030349,"frozen tunas of the genus ""thunnus"" (excl. thunnus alalunga, thunnus albacares, thunnus obesus, thunnus thynnus, thunnus orientalis and thunnus maccoyii)"
030342,"frozen yellowfin tunas ""thunnus albacares"""
030346,"frozen southern bluefin tunas ""thunnus maccoyii"""
030343,"frozen skipjack or stripe-bellied bonito ""euthynnus -katsuwonus- pelamis"""
030344,"frozen bigeye tunas ""thunnus obesus"""
030345,"frozen atlantic and pacific bluefin tuna (thunnus thynnus, thunnus orientalis)"
030354,"frozen mackerel ""scomber scombrus, scomber australasicus, scomber japonicus"""
030389,"frozen fish, n.e.s."
030391,"frozen fish livers, roes and milt"
030384,"frozen sea bass ""dicentrarchus spp."""
030392,frozen shark fins
030381,frozen dogfish and other sharks
030355,"frozen jack and horse mackerel ""trachurus spp."""
030359,"frozen anchovies ""engraulis spp."", indian mackerels ""rastrelliger spp."", seerfishes ""scomberomorus spp."", jacks, crevalles ""caranx spp."", silver pomfrets ""pampus spp."", pacific saury ""cololabis saira"", scads ""decapterus spp."", capelin ""mallotus villosus"", kawakawa ""euthynnus affinis"", bonitos ""sarda spp."", marlins, sailfishes and spearfish ""istiophoridae"""
030369,"frozen fish of the families bregmacerotidae, euclichthyidae, gadidae, macrouridae, melanonidae, merlucciidae, moridae and muraenolepididae (excl. cod, haddock, coalfish, hake, alaska pollack and blue whiting)"
030366,"frozen hake ""merluccius spp., urophycis spp."""
030363,"frozen cod ""gadus morhua, gadus ogac, gadus macrocephalus"""
030368,"frozen blue whiting ""micromesistius poutassou, micromesistius australis"""
030191,"live trout ""salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache and oncorhynchus chrysogaster"""
030192,"live eels ""anguilla spp."""
030199,"live fish (excl. ornamental fish, trout [salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache and oncorhynchus chrysogaster], eels [anguilla spp.], carp [cyprinus spp., carassius spp., ctenopharyngodon idellus, hypophthalmichthys spp., cirrhinus spp., mylopharyngodon piceus, catla catla, labeo spp., osteochilus hasselti, leptobarbus hoeveni, megalobrama spp.], atlantic and pacific bluefin tuna [thunnus thynnus, thunnus orientalis] and southern bluefin tuna [thunnus maccoyii])"
030194,"live atlantic and pacific bluefin tuna (thunnus thynnus, thunnus orientalis)"
040150,"milk and cream of a fat content by weight of > 10%, not concentrated nor containing added sugar or other sweetening matter"
040140,"milk and cream of a fat content by weight of > 6% but <= 10%, not concentrated nor containing added sugar or other sweetening matter"
040120,"milk and cream of a fat content by weight of > 1% but <= 6%, not concentrated nor containing added sugar or other sweetening matter"
040110,"milk and cream of a fat content by weight of <= 1%, not concentrated nor containing added sugar or other sweetening matter"
040299,"milk and cream, concentrated and sweetened (excl. in solid forms)"
040229,"milk and cream in solid forms, of a fat content by weight of > 1,5%, sweetened"
040210,"milk and cream in solid forms, of a fat content by weight of <= 1,5%"
040221,"milk and cream in solid forms, of a fat content by weight of > 1,5%, unsweetened"
040291,"milk and cream, concentrated but unsweetened (excl. in solid forms)"
040410,"whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter"
040490,"products consisting of natural milk constituents, whether or not sweetened, n.e.s."
040390,"buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa (excl. yogurt)"
040320,"yogurt, whether or not flavoured or containing added sugar or other sweetening matter, fruit, nuts, cocoa, chocolate, spices, coffee, plants, cereals or bakers' wares"
040590,"fats and oils derived from milk, and dehydrated butter and ghee (excl. natural butter, recombined butter and whey butter)"
040520,"dairy spreads of a fat content, by weight, of >= 39% but < 80%"
040510,butter (excl. dehydrated butter and ghee)
040610,"fresh cheese ""unripened or uncured cheese"", incl. whey cheese, and curd"
040640,"blue-veined cheese and other cheese containing veins produced by ""penicillium roqueforti"""
040690,"cheese (excl. fresh cheese, incl. whey cheese, curd, processed cheese, blue-veined cheese and other cheese containing veins produced by ""penicillium roqueforti"", and grated or powdered cheese)"
040630,"processed cheese, not grated or powdered"
040719,fertilised birds' eggs for incubation (excl. of domestic fowls)
040729,"fresh birds' eggs, in shell (excl. of domestic fowls, and fertilised for incubation)"
040790,"birds' eggs, in shell, preserved or cooked"
040899,"birds' eggs, not in shell, fresh, cooked by steaming or boiling in water, moulded, frozen or otherwise preserved, whether or not sweetened (excl. dried)"
040891,"dried birds' eggs, not in shell, whether or not sweetened (excl. egg yolks)"
040811,"dried egg yolks, whether or not sweetened"
040819,"egg yolks, fresh, cooked by steaming or boiling in water, moulded, frozen or otherwise preserved, whether or not sweetened (excl. dried)"
041010,"insects, fit for human consumption"
05079000,"tortoiseshell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared, their powder and waste (excl. cut to shape and ivory)"
05071000,"ivory, unworked or simply prepared, its powder and waste (excl. cut to shape)"
050800,"coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder and waste thereof, unworked or simply prepared but not otherwise worked or cut to shape"
05080010,"red coral ""corallium rubrum"", unworked or simply prepared but not otherwise worked"
05080090,"coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder and waste thereof, unworked or simply prepared but not otherwise worked or cut to shape (excl. red coral)"
05119939,natural sponges of animal origin (excl. raw)
05119985,"animal products, n.e.s.; dead animals, unfit for human consumption (excl. fish, crustaceans, molluscs and other aquatic invertebrates)"
05119190,"products of fish or crustaceans, molluscs or other aquatic invertebrates (excl. fish waste); dead fish, crustaceans, molluscs or other aquatic invertebrates, unfit for human consumption"
051199,"products of animal origin, n.e.s., dead animals, unfit for human consumption (excl. fish, crustaceans, molluscs or other aquatic invertebrates)"
05119910,"sinews or tendons of animal origin, parings and similar waste of raw hides or skins"
05119931,raw natural sponges of animal origin
05111000,bovine semen
051191,"products of fish or crustaceans, molluscs or other aquatic invertebrates; dead fish, crustaceans, molluscs or other aquatic invertebrates, unfit for human consumption"
05119110,fish waste
05061000,ossein and bones treated with acid
05069000,"bones and horn-cores and their powder and waste, unworked, defatted, degelatinised or simply prepared (excl. ossein and bones treated with acid and cut to shape)"
05100000,"ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise provisionally preserved"
05051010,"raw feathers used for stuffing and down, whether or not de-dusted, disinfected or simply cleaned"
05051090,"feathers used for stuffing and down, thoroughly cleaned and treated for preservation"
05059000,"skins and other parts of birds, with their feathers or down, feathers and parts of feathers, whether or not with trimmed edges, not further worked than cleaned, disinfected or treated for preservation; powder and waste of feathers or parts of feathers (excl. feathers used for stuffing and down)"
050510,"feathers used for stuffing and down, not further worked than cleaned, disinfected or treated for preservation"
05029000,badger and other brush making hair and waste thereof
05021000,"pigs', hogs' or boars' bristles and waste of such bristles"
05040000,"guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked"
05010000,"human hair, unworked, whether or not washed or scoured; waste of human hair"
06042020,fresh christmas trees
06042040,"fresh conifer branches, suitable for bouquets or ornamental purposes"
06042090,"foliage, branches and other parts of plants, without flowers or flower buds, and grasses, fresh, suitable for bouquets or ornamental purposes (excl. christmas trees and conifer branches)"
060490,"foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, dried, dyed, bleached, impregnated or otherwise prepared"
060420,"foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, fresh"
06042011,"reindeer moss, suitable for bouquets or ornamental purposes, fresh"
06042019,"mosses and lichens, suitable for bouquets or ornamental purposes, fresh (excl. reindeer moss)"
06049099,"foliage, branches and other parts of plants, without flowers or buds, and grasses, suitable for bouquets or for ornamental purposes, dyed, bleached, impregnated or otherwise prepared (excl. dried)"
06049011,"reindeer moss, suitable for bouquets or ornamental purposes, dried, dyed, bleached, impregnated or otherwise prepared"
06049019,"mosses and lichens, suitable for bouquets or ornamental purposes, dried, dyed, bleached, impregnated or otherwise prepared (excl. reindeer moss)"
